,Sample,Microbes,Culture,Media,Strain,Mean_TIC,TOTAL_TIC,CORRECTION2,PEAK_AREA,PEAK_AREA_TIC,PEAK_AREA_TIC_Log,PEAK_AREA_Log,TIC_Log_Scaled,Metabolites,Log_Scaled,Class,Sample_ID_F
35,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,3059286589,1379285399,9.139654139,9.485620163,0.808895287,succinic.acid,1.189828582,TCA Glycolysis,100_MediaC_Control_SA_Media
36,100,MediaC,Control,SA,Media,15797741936,7122443142,0.450851974,27254858,12287906.54,7.0894779,7.435443924,NA,X3OMethyl_Glucose,-0.048692257,TCA Glycolysis,100_MediaC_Control_SA_Media
37,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,1857320404,845936386.7,8.927337706,9.26888683,0.271796078,gluconic.acid,0.836601386,TCA Glycolysis,101_MediaC_Control_SA_Media
38,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,1625277373,740249913.5,8.869378365,9.210927489,-0.54867785,glucose.Unk_hexose,0.132587038,TCA Glycolysis,101_MediaC_Control_SA_Media
39,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,1680544061,765421716,8.88390078,9.225449903,0.087286695,glyceric.acid,0.707686853,TCA Glycolysis,101_MediaC_Control_SA_Media
40,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,20527505,9349471.083,6.970787043,7.312336167,-0.13411006,glycerol.3.phosphate,0.48990922,TCA Glycolysis,101_MediaC_Control_SA_Media
41,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,707182827,322093960.8,8.507982582,8.849531706,NA,isocitric.acid,0.23009303,TCA Glycolysis,101_MediaC_Control_SA_Media
42,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,452342606,206024264.2,8.313918372,8.655467496,-0.706431337,lactic.acid,0.286963258,TCA Glycolysis,101_MediaC_Control_SA_Media
43,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,6149758188,2800972955,9.447308916,9.788858039,0.702920578,malic.acid,1.105948357,TCA Glycolysis,101_MediaC_Control_SA_Media
44,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,22548860,10270118.78,7.011575466,7.35312459,-0.701905856,maltose_sucrose,0.114772922,TCA Glycolysis,101_MediaC_Control_SA_Media
45,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,21005931,9567375.307,6.980792811,7.322341935,0.125478679,mannitol_sorbitol,0.722356839,TCA Glycolysis,101_MediaC_Control_SA_Media
46,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,144151386,65655286.16,7.817269699,8.158818822,-1.081510239,pyruvic.acid,-0.245191109,TCA Glycolysis,101_MediaC_Control_SA_Media
47,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,2926445884,1332880989,9.124791374,9.466340498,0.784181775,succinic.acid,1.164819081,TCA Glycolysis,101_MediaC_Control_SA_Media
48,101,MediaC,Control,SA,Media,15637888595,7122443142,0.455460665,30783570,14020705.27,7.14676986,7.488318984,NA,X3OMethyl_Glucose,0.010487574,TCA Glycolysis,101_MediaC_Control_SA_Media
49,102,MediaC,Control,SA,Media,15002740090,7122443142,0.47474282,2409390558,1143840869,9.05836561,9.381907204,0.505494482,gluconic.acid,0.99998127,TCA Glycolysis,102_MediaC_Control_SA_Media
