	Rep	Media	Chamber	Chamber_strain	Chamber_strain_2	Combinaison	Chamber_num	Plate	Well	Comment	Collect	Strains	Ct	Manip
67	7	TSB50	1	MR401	MR401	MR401_FSC	Chamber 1	P1	F7		150	Bacteria	16.38	Fungi
68	7	TSB50	2	FSC	FSC	MR401_FSC	Chamber 2	P1	F8		150	Bacteria	29.76	Fungi
69	8	TSB50	1	MR401	MR401	MR401_FSC	Chamber 1	P1	F9		150	Bacteria	15.83	Fungi
70	8	TSB50	2	FSC	FSC	MR401_FSC	Chamber 2	P1	F10		150	Bacteria	29.02	Fungi
71	9	TSB50	1	C	C	MF_FSC	Chamber 1	P1	F11		150	Bacteria	35.07	Fungi
72	9	TSB50	2	FSC	FSC	MF_FSC	Chamber 2	P1	F12		150	Bacteria	28.18	Fungi
73	10	TSB50	1	C	C	MF_FSC	Chamber 1	P1	G1		150	Bacteria	31.75	Fungi
74	10	TSB50	2	FSC	FSC	MF_FSC	Chamber 2	P1	G2		150	Bacteria	28.3	Fungi
75	11	TSB50	1	C	C	MF_FSC	Chamber 1	P1	G3		150	Bacteria	30.46	Fungi
76	11	TSB50	2	FSC	FSC	MF_FSC	Chamber 2	P1	G4		150	Bacteria	29.06	Fungi
77	12	TSB50	1	C	C	MF_FSC	Chamber 1	P1	G5		150	Bacteria	28.21	Fungi
78	12	TSB50	2	FSC	FSC	MF_FSC	Chamber 2	P1	G6		150	Bacteria	28.49	Fungi
95	21	TSB50	1	C	C	Control	Chamber 1	P1	H11	Failed top	150	Bacteria		C
96	21	TSB50	2	C	C	Control	Chamber 2	P1	H12	Failed top	150	Bacteria		C
97	22	TSB50	1	C	C	Control	Chamber 1	P2	A1		150	Bacteria	29.25	C
98	22	TSB50	2	C	C	Control	Chamber 2	P2	A2		150	Bacteria	29.55	C
99	23	TSB50	1	C	C	Control	Chamber 1	P2	A3		150	Bacteria	28.83	C
100	23	TSB50	2	C	C	Control	Chamber 2	P2	A4		150	Bacteria	29.61	C
101	24	TSB50	1	C	C	Control	Chamber 1	P2	A5		150	Bacteria	31.04	C
102	24	TSB50	2	C	C	Control	Chamber 2	P2	A6		150	Bacteria	27.08	C
103		TSB50	1	Control	Bottle	Control_Bottle_1	Chamber 1	P2	A7		150	Bacteria	29.42	C
104		TSB50	2	Control	Bottle	Control_Bottle_1	Chamber 2	P2	A8		150	Bacteria	30.47	C
105		TSB50	1	Control	Bottle	Control_Bottle_1	Chamber 1	P2	A9		150	Bacteria	29.64	C
106		TSB50	2	Control	Bottle	Control_Bottle_2	Chamber 2	P2	A10		150	Bacteria	30.86	C
107		TSB50	1	Control	Bottle	Control_Bottle_2	Chamber 1	P2	A11		150	Bacteria	29.51	C
108		TSB50	2	Control	Bottle	Control_Bottle_2	Chamber 2	P2	A12		150	Bacteria	31.42	C
129	1	TSB50	1	R401	R401	R401_BSC	Chamber 1	P1	A1		150	Fungi	29.95	Bacteria
130	1	TSB50	2	BSC	BSC	R401_BSC	Chamber 2	P1	A2		150	Fungi	28.46	Bacteria
131	2	TSB50	1	R401	R401	R401_BSC	Chamber 1	P1	A3		150	Fungi	28.79	Bacteria
132	2	TSB50	2	BSC	BSC	R401_BSC	Chamber 2	P1	A4		150	Fungi	28.68	Bacteria
133	3	TSB50	1	R401	R401	R401_BSC	Chamber 1	P1	A5		150	Fungi	28.22	Bacteria
134	3	TSB50	2	BSC	BSC	R401_BSC	Chamber 2	P1	A6		150	Fungi	28.69	Bacteria
135	4	TSB50	1	R401	R401	R401_BSC	Chamber 1	P1	A7		150	Fungi	29.09	Bacteria
136	4	TSB50	2	BSC	BSC	R401_BSC	Chamber 2	P1	A8		150	Fungi	28.46	Bacteria
137	5	TSB50	1	MR401	MR401	MR401_BSC	Chamber 1	P1	A9		150	Fungi	28.95	Bacteria
138	5	TSB50	2	BSC	BSC	MR401_BSC	Chamber 2	P1	A10		150	Fungi	28.54	Bacteria
139	6	TSB50	1	MR401	MR401	MR401_BSC	Chamber 1	P1	A11		150	Fungi	29.05	Bacteria
140	6	TSB50	2	BSC	BSC	MR401_BSC	Chamber 2	P1	A12		150	Fungi	28.69	Bacteria
141	7	TSB50	1	MR401	MR401	MR401_BSC	Chamber 1	P1	B1		150	Fungi	28.73	Bacteria
142	7	TSB50	2	BSC	BSC	MR401_BSC	Chamber 2	P1	B2		150	Fungi	28.47	Bacteria
143	8	TSB50	1	MR401	MR401	MR401_BSC	Chamber 1	P1	B3		150	Fungi	28.48	Bacteria
144	8	TSB50	2	BSC	BSC	MR401_BSC	Chamber 2	P1	B4		150	Fungi	28.34	Bacteria
145	9	TSB50	1	C	C	MF_BSC	Chamber 1	P1	B5	Failed top	150	Fungi		Bacteria
146	9	TSB50	2	BSC	BSC	MF_BSC	Chamber 2	P1	B6	Failed top	150	Fungi		Bacteria
147	10	TSB50	1	C	C	MF_BSC	Chamber 1	P1	B7		150	Fungi	31.01	Bacteria
148	10	TSB50	2	BSC	BSC	MF_BSC	Chamber 2	P1	B8		150	Fungi	28.41	Bacteria
149	11	TSB50	1	C	C	MF_BSC	Chamber 1	P1	B9		150	Fungi	28.24	Bacteria
150	11	TSB50	2	BSC	BSC	MF_BSC	Chamber 2	P1	B10		150	Fungi	28.52	Bacteria
151	12	TSB50	1	C	C	MF_BSC	Chamber 1	P1	B11		150	Fungi	28.58	Bacteria
152	12	TSB50	2	BSC	BSC	MF_BSC	Chamber 2	P1	B12		150	Fungi	29.01	Bacteria
169	21	TSB50	1	C	C	Control	Chamber 1	P1	D5		150	Fungi	28.52	C
170	21	TSB50	2	C	C	Control	Chamber 2	P1	D6		150	Fungi	28.22	C
171	22	TSB50	1	C	C	Control	Chamber 1	P1	D7		150	Fungi	28.2	C
172	22	TSB50	2	C	C	Control	Chamber 2	P1	D8		150	Fungi	29	C
173	23	TSB50	1	C	C	Control	Chamber 1	P1	D9		150	Fungi	26.74	C
174	23	TSB50	2	C	C	Control	Chamber 2	P1	D10		150	Fungi	28.06	C
175	24	TSB50	1	C	C	Control	Chamber 1	P1	D11		150	Fungi	29.22	C
176	24	TSB50	2	C	C	Control	Chamber 2	P1	D12		150	Fungi	28.63	C
177		TSB50	1	Control	Bottle	Control_Bottle_1	Chamber 1	P1	E1		150	Fungi	28.6	C
178		TSB50	2	Control	Bottle	Control_Bottle_1	Chamber 2	P1	E2		150	Fungi	28.74	C
179		TSB50	1	Control	Bottle	Control_Bottle_1	Chamber 1	P1	E3		150	Fungi	28.53	C
180		TSB50	2	Control	Bottle	Control_Bottle_2	Chamber 2	P1	E4		150	Fungi	28.25	C
181		TSB50	1	Control	Bottle	Control_Bottle_2	Chamber 1	P1	E5		150	Fungi	28.14	C
182		TSB50	2	Control	Bottle	Control_Bottle_2	Chamber 2	P1	E6		150	Fungi	28.5	C
